,BusinessEntityID,PhoneNumber,PhoneNumberTypeID,ModifiedDate
0,1,697-555-0142,1,2009-01-07 00:00:00.000
1,2,819-555-0175,3,2008-01-24 00:00:00.000
2,3,212-555-0187,1,2007-11-04 00:00:00.000
3,4,612-555-0100,1,2007-11-28 00:00:00.000
4,5,849-555-0139,1,2007-12-30 00:00:00.000
5,6,122-555-0189,3,2013-12-16 00:00:00.000
6,7,181-555-0156,3,2009-02-01 00:00:00.000
7,8,815-555-0138,1,2008-12-22 00:00:00.000
8,9,185-555-0186,1,2009-01-09 00:00:00.000
9,10,330-555-2568,3,2009-04-26 00:00:00.000
10,11,719-555-0181,1,2010-11-28 00:00:00.000
11,12,168-555-0183,3,2007-12-04 00:00:00.000
12,13,473-555-0117,3,2010-12-16 00:00:00.000
13,14,465-555-0156,1,2010-12-23 00:00:00.000
14,15,970-555-0138,1,2011-01-11 00:00:00.000
15,16,913-555-0172,3,2007-12-13 00:00:00.000
16,17,150-555-0189,1,2007-01-19 00:00:00.000
17,18,486-555-0150,3,2011-01-31 00:00:00.000
18,19,124-555-0114,1,2011-02-07 00:00:00.000
19,20,708-555-0141,3,2010-12-31 00:00:00.000
20,21,138-555-0118,1,2009-02-23 00:00:00.000
21,22,399-555-0176,3,2008-12-05 00:00:00.000
22,23,531-555-0183,3,2009-01-05 00:00:00.000
23,24,510-555-0121,3,2009-01-11 00:00:00.000
24,25,870-555-0122,3,2009-01-27 00:00:00.000
25,26,913-555-0196,3,2008-11-24 00:00:00.000
26,27,632-555-0129,1,2008-02-20 00:00:00.000
27,28,320-555-0195,3,2006-06-23 00:00:00.000
28,29,417-555-0154,3,2009-01-16 00:00:00.000
29,30,955-555-0169,1,2009-01-22 00:00:00.000
30,31,818-555-0128,1,2008-12-28 00:00:00.000
31,32,314-555-0113,1,2008-12-22 00:00:00.000
32,33,499-555-0125,3,2008-12-10 00:00:00.000
33,34,753-555-0129,1,2009-02-09 00:00:00.000
34,35,429-555-0137,1,2009-02-01 00:00:00.000
35,36,587-555-0115,1,2009-02-03 00:00:00.000
36,37,315-555-0144,1,2009-02-28 00:00:00.000
37,38,208-555-0114,1,2010-01-09 00:00:00.000
38,39,919-555-0140,3,2010-01-29 00:00:00.000
39,40,903-555-0145,3,2007-12-19 00:00:00.000
40,41,712-555-0113,1,2009-01-14 00:00:00.000
41,42,119-555-0117,1,2008-12-20 00:00:00.000
42,43,970-555-0118,1,2008-12-26 00:00:00.000
43,44,963-555-0134,3,2008-12-01 00:00:00.000
44,45,278-555-0118,1,2009-02-19 00:00:00.000
45,46,173-555-0179,1,2009-02-01 00:00:00.000
46,47,908-555-0159,1,2009-02-15 00:00:00.000
47,48,145-555-0130,1,2007-12-30 00:00:00.000
48,49,206-555-0180,3,2013-11-29 00:00:00.000
49,50,424-555-0189,3,2008-01-26 00:00:00.000
50,51,984-555-0185,3,2008-02-13 00:00:00.000
51,52,328-555-0150,1,2014-01-31 00:00:00.000
52,53,202-555-0151,1,2008-03-21 00:00:00.000
53,54,264-555-0150,3,2009-12-25 00:00:00.000
54,55,508-555-0165,3,2013-12-31 00:00:00.000
55,56,869-555-0119,1,2009-01-29 00:00:00.000
56,57,167-555-0139,3,2009-02-16 00:00:00.000
57,58,138-555-0128,3,2008-11-28 00:00:00.000
58,59,611-555-0116,3,2008-12-17 00:00:00.000
59,60,768-555-0123,1,2009-01-04 00:00:00.000
60,61,361-555-0180,3,2009-01-11 00:00:00.000
61,62,435-555-0113,3,2014-02-07 00:00:00.000
62,63,237-555-0128,1,2010-01-22 00:00:00.000
63,64,582-555-0148,1,2010-02-16 00:00:00.000
64,65,961-555-0122,1,2010-02-16 00:00:00.000
65,66,447-555-0186,3,2009-12-15 00:00:00.000
66,67,407-555-0165,3,2009-02-26 00:00:00.000
67,68,931-555-0118,3,2009-11-26 00:00:00.000
68,69,712-555-0170,3,2009-02-08 00:00:00.000
69,70,712-555-0119,3,2008-12-08 00:00:00.000
70,71,156-555-0199,1,2009-02-08 00:00:00.000
71,72,925-555-0114,3,2008-11-24 00:00:00.000
72,73,688-555-0192,1,2008-12-12 00:00:00.000
73,74,199-555-0117,3,2008-12-31 00:00:00.000
74,75,984-555-0148,3,2009-01-19 00:00:00.000
75,76,609-555-0153,1,2009-02-05 00:00:00.000
76,77,224-555-0187,3,2009-02-24 00:00:00.000
77,78,191-555-0112,3,2008-12-08 00:00:00.000
78,79,680-555-0118,1,2010-01-17 00:00:00.000
79,80,166-555-0156,3,2010-01-10 00:00:00.000
80,81,733-555-0128,3,2009-12-22 00:00:00.000
81,82,521-555-0113,1,2010-02-24 00:00:00.000
82,83,425-555-0117,1,2010-02-05 00:00:00.000
83,84,203-555-0196,3,2010-01-29 00:00:00.000
84,85,730-555-0117,1,2009-12-04 00:00:00.000
85,86,208-555-0114,3,2008-12-29 00:00:00.000
86,87,434-555-0133,1,2008-12-15 00:00:00.000
87,88,405-555-0171,1,2009-12-11 00:00:00.000
88,89,413-555-0124,1,2010-01-25 00:00:00.000
89,90,500-555-0172,1,2010-02-13 00:00:00.000
90,91,123-555-0167,3,2010-01-05 00:00:00.000
91,92,295-555-0161,3,2010-03-03 00:00:00.000
92,93,999-555-0155,3,2008-12-20 00:00:00.000
93,94,786-555-0144,3,2008-12-05 00:00:00.000
94,95,679-555-0113,3,2008-12-12 00:00:00.000
95,96,318-555-0137,1,2009-02-23 00:00:00.000
96,97,140-555-0132,3,2009-02-03 00:00:00.000
97,98,990-555-0172,1,2009-02-04 00:00:00.000
98,99,913-555-0184,1,2008-12-30 00:00:00.000
