,BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion
0,1,EM,False,,Ken,J,Sánchez,,0
1,2,EM,False,,Terri,Lee,Duffy,,1
2,3,EM,False,,Roberto,,Tamburello,,0
3,4,EM,False,,Rob,,Walters,,0
4,5,EM,False,Ms.,Gail,A,Erickson,,0
5,6,EM,False,Mr.,Jossef,H,Goldberg,,0
6,7,EM,False,,Dylan,A,Miller,,2
7,8,EM,False,,Diane,L,Margheim,,0
8,9,EM,False,,Gigi,N,Matthew,,0
9,10,EM,False,,Michael,,Raheem,,2
10,11,EM,False,,Ovidiu,V,Cracium,,0
11,12,EM,False,,Thierry,B,D'Hers,,2
12,13,EM,False,Ms.,Janice,M,Galvin,,2
13,14,EM,False,,Michael,I,Sullivan,,2
14,15,EM,False,,Sharon,B,Salavaria,,2
15,16,EM,False,,David,M,Bradley,,1
16,17,EM,False,,Kevin,F,Brown,,2
17,18,EM,False,,John,L,Wood,,2
18,19,EM,False,,Mary,A,Dempsey,,1
19,20,EM,False,,Wanida,M,Benshoof,,2
20,21,EM,False,,Terry,J,Eminhizer,,2
21,22,EM,False,,Sariya,E,Harnpadoungsataya,,0
22,23,EM,False,,Mary,E,Gibson,,0
23,24,EM,False,Ms.,Jill,A,Williams,,0
24,25,EM,False,,James,R,Hamilton,,0
25,26,EM,False,,Peter,J,Krebs,,0
26,27,EM,False,,Jo,A,Brown,,0
27,28,EM,False,,Guy,R,Gilbert,,0
28,29,EM,False,,Mark,K,McArthur,,1
29,30,EM,False,,Britta,L,Simon,,0
30,31,EM,False,,Margie,W,Shoop,,2
31,32,EM,False,,Rebecca,A,Laszlo,,1
32,33,EM,False,,Annik,O,Stahl,,0
33,34,EM,False,,Suchitra,O,Mohan,,2
34,35,EM,False,,Brandon,G,Heidepriem,,1
35,36,EM,False,,Jose,R,Lugo,,2
36,37,EM,False,,Chris,O,Okelberry,,0
37,38,EM,False,,Kim,B,Abercrombie,,2
38,39,EM,False,,Ed,R,Dudenhoefer,,0
39,40,EM,False,,JoLynn,M,Dobney,,1
40,41,EM,False,,Bryan,,Baker,,0
41,42,EM,False,,James,D,Kramer,,2
42,43,EM,False,,Nancy,A,Anderson,,1
43,44,EM,False,,Simon,D,Rapier,,0
44,45,EM,False,,Thomas,R,Michaels,,1
45,46,EM,False,,Eugene,O,Kogan,,0
46,47,EM,False,,Andrew,R,Hill,,1
47,48,EM,False,,Ruth,Ann,Ellerbrock,,0
48,49,EM,False,,Barry,K,Johnson,,0
49,50,EM,False,,Sidney,M,Higa,,0
50,51,EM,False,,Jeffrey,L,Ford,,0
51,52,EM,False,,Doris,M,Hartwig,,0
52,53,EM,False,,Diane,R,Glimp,,2
53,54,EM,False,,Bonnie,N,Kearney,,0
54,55,EM,False,,Taylor,R,Maxwell,,0
55,56,EM,False,,Denise,H,Smith,,0
56,57,EM,False,,Frank,T,Miller,,1
57,58,EM,False,,Kendall,C,Keil,,2
58,59,EM,False,,Bob,N,Hohman,,0
59,60,EM,False,,Pete,C,Male,,2
60,61,EM,False,,Diane,H,Tibbott,,0
61,62,EM,False,,John,T,Campbell,,1
62,63,EM,False,,Maciej,W,Dusza,,0
63,64,EM,False,,Michael,J,Zwilling,,1
64,65,EM,False,,Randy,T,Reeves,,0
65,66,EM,False,,Karan,R,Khanna,,1
66,67,EM,False,,Jay,G,Adams,,0
67,68,EM,False,,Charles,B,Fitzgerald,,2
68,69,EM,False,,Steve,F,Masters,,1
69,70,EM,False,,David,J,Ortiz,,0
70,71,EM,False,,Michael,Sean,Ray,,2
71,72,EM,False,,Steven,T,Selikoff,,2
72,73,EM,False,,Carole,M,Poland,,2
73,74,EM,False,,Bjorn,M,Rettig,,1
74,75,EM,False,,Michiko,F,Osada,,0
75,76,EM,False,,Carol,M,Philips,,2
76,77,EM,False,,Merav,A,Netz,,0
77,78,EM,False,,Reuben,H,D'sa,,2
78,79,EM,False,,Eric,L,Brown,,0
79,80,EM,False,,Sandeep,P,Kaliyath,,2
80,81,EM,False,,Mihail,U,Frintu,,0
81,82,EM,False,,Jack,T,Creasey,,0
82,83,EM,False,,Patrick,M,Cook,,0
83,84,EM,False,,Frank,R,Martinez,,1
84,85,EM,False,,Brian,Richard,Goldstein,,0
85,86,EM,False,,Ryan,L,Cornelsen,,2
86,87,EM,False,,Cristian,K,Petculescu,,1
87,88,EM,False,,Betsy,A,Stadick,,0
88,89,EM,False,,Patrick,C,Wedge,,0
89,90,EM,False,,Danielle,C,Tiedt,,1
90,91,EM,False,,Kimberly,B,Zimmerman,,0
91,92,EM,False,,Tom,M,Vande Velde,,0
92,93,EM,False,,Kok-Ho,T,Loh,,2
93,94,EM,False,,Russell,,Hunter,,1
94,95,EM,False,,Jim,H,Scardelis,,2
95,96,EM,False,,Elizabeth,I,Keyser,,0
96,97,EM,False,,Mandar,H,Samant,,0
97,98,EM,False,,Sameer,A,Tejani,,0
98,99,EM,False,,Nuan,,Yu,,0
99,100,EM,False,,Lolan,B,Song,,1
100,101,EM,False,,Houman,N,Pournasseh,,2
101,102,EM,False,,Zheng,W,Mu,,0
102,103,EM,False,,Ebru,N,Ersan,,2
103,104,EM,False,,Mary,R,Baker,,2
104,105,EM,False,,Kevin,M,Homer,,0
105,106,EM,False,,John,T,Kane,,1
106,107,EM,False,,Christopher,E,Hill,,0
107,108,EM,False,,Jinghao,K,Liu,,0
108,109,EM,False,,Alice,O,Ciccu,,1
109,110,EM,False,,Jun,T,Cao,,0
110,111,EM,False,,Suroor,R,Fatima,,0
111,112,EM,False,,John,P,Evans,,1
112,113,EM,False,,Linda,K,Moschell,,1
113,114,EM,False,,Mindaugas,J,Krapauskas,,1
114,115,EM,False,,Angela,W,Barbariol,,2
115,116,EM,False,,Michael,W,Patten,,0
116,117,EM,False,,Chad,W,Niswonger,,1
117,118,EM,False,,Don,L,Hall,,0
118,119,EM,False,,Michael,T,Entin,,1
119,120,EM,False,,Kitti,H,Lertpiriyasuwat,,0
120,121,EM,False,,Pilar,G,Ackerman,,0
121,122,EM,False,,Susan,W,Eaton,,2
122,123,EM,False,,Vamsi,N,Kuppa,,0
123,124,EM,False,,Kim,T,Ralls,,2
124,125,EM,False,,Matthias,T,Berndt,,0
125,126,EM,False,,Jimmy,T,Bischoff,,0
